Company,FiscalYear,FiscalYearAD,CAR,NPL_Ratio,CD_Ratio,Cost_of_Funds,Base_Rate,Interest_Spread,ROE_derived,Loan_Growth_YoY,NPL_Ratio_lag1,CAR_lag1,CD_Ratio_lag1,Delta_NPL_lag1,Delta_CAR_lag1,NPL_dev,CAR_dev,ROE_dev,NPL_next_year,Delta_NPL_next_year,Deteriorate_next_year
SANIMA,2077/2078,2020/2021,13.54,0.16,82.31,4.75,6.34,3.37,15.308365755814124,31.382859159432975,0.48,12.97,74.72,-0.31999999999999995,0.5699999999999985,-0.71,-0.15500000000000114,2.23876649473131,0.35,0.18999999999999997,0
SANIMA,2078/2079,2021/2022,13.75,0.35,86.36,7.63,9.71,3.86,13.404535835045328,15.272954119311239,0.16,13.54,82.31,0.18999999999999997,0.21000000000000085,-0.645,0.27500000000000036,0.4557145629706927,1.3,0.9500000000000001,1
SANIMA,2079/2080,2022/2023,14.13,1.3,79.0,8.27,10.15,4.0,13.517111177068609,6.00501817477779,0.35,13.75,86.36,0.9500000000000001,0.3800000000000008,-1.3,0.7650000000000023,0.857884365990687,1.73,0.42999999999999994,0
SANIMA,2080/2081,2023/2024,13.66,1.73,80.53,6.13,7.83,4.0,11.362319339265321,9.6929630906881,1.3,14.13,79.0,0.42999999999999994,-0.47000000000000064,-1.625,1.0899999999999999,0.7488568774653235,1.21,-0.52,0
SANIMA,2081/2082,2024/2025,13.01,1.21,81.03,4.7,6.12,3.68,11.213368324575884,10.62703756799343,1.73,13.66,80.53,-0.52,-0.6500000000000004,-1.355,-0.1349999999999998,0.31716600696625363,1.58,0.3700000000000001,0
SANIMA,2082/2083,2025/2026,12.76,1.58,79.23,4.32,5.59,3.65,1.939388381960604,0.6347605193511718,1.21,13.01,81.03,0.3700000000000001,-0.25,-2.83,-0.005000000000000782,-0.7677118511104133,,,
SCB,2072/2073,2015/2016,,,,,,,17.53671595477834,,,,,,,,,-0.8450321220373063,,,
SCB,2073/2074,2016/2017,,,,,,,12.520298198847104,,,,,,,,,-1.220786221003351,0.18,,
SCB,2074/2075,2017/2018,23.68,0.18,71.68,4.41,7.87,5.06,15.5172863915056,,,,,,,-0.425,10.575,-0.5085684123103178,0.15,-0.03,0
SCB,2075/2076,2018/2019,19.9,0.15,73.13,5.5,7.63,4.45,16.64930028621334,,0.18,23.68,71.68,-0.03,-3.780000000000001,-0.495,6.604999999999999,-0.6970304290229876,0.44,0.29000000000000004,0
SCB,2076/2077,2019/2020,18.54,0.44,66.43,4.84,7.0,3.63,13.137217728833342,1.5084746244601384,0.15,19.9,73.13,0.29000000000000004,-1.3599999999999994,-0.55,5.18,-0.11297107747475721,0.96,0.52,1
SCB,2077/2078,2020/2021,17.17,0.96,75.83,3.06,5.51,3.88,8.636578434613225,15.755435215485647,0.44,18.54,66.43,0.52,-1.3699999999999974,0.08999999999999997,3.4750000000000014,-4.433020826469589,0.59,-0.37,0
SCB,2078/2079,2021/2022,16.0,0.59,85.15,6.21,8.81,4.23,12.53759101035964,26.870715514926285,0.96,17.17,75.83,-0.37,-1.1700000000000017,-0.405,2.5250000000000004,-0.4112302617149961,1.17,0.58,1
SCB,2079/2080,2022/2023,17.12,1.17,75.8,6.91,9.02,4.0,17.472176294668433,-1.6627063804324327,0.59,16.0,85.15,0.58,1.120000000000001,-1.4300000000000002,3.7550000000000026,4.812949483590511,2.14,0.9700000000000002,1
SCB,2080/2081,2023/2024,17.16,2.14,76.83,3.84,6.6,4.0,16.094395696895074,4.218963450691237,1.17,17.12,75.8,0.9700000000000002,0.03999999999999915,-1.2149999999999999,4.59,5.480933235095076,1.47,-0.6700000000000002,0
SCB,2081/2082,2024/2025,17.82,1.47,69.48,3.22,4.99,3.53,13.903878137652342,-10.389289724962584,2.14,17.16,76.83,-0.6700000000000002,0.6600000000000001,-1.095,4.675000000000001,3.007675820042712,1.71,0.24,0
SCB,2082/2083,2025/2026,18.6,1.71,65.15,2.89,4.27,3.63,3.0948245407771373,-3.5678248840370443,1.47,17.82,69.48,0.24,0.7800000000000011,-2.7,5.835000000000001,0.3877243077061201,,,
